position,song_id,song_name,artist,streams,last_week_position,weeks_on_chart,peak_position,position_status,year,week
51,17Fd6Yb7mSbinKG8LoWfFl,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,667870,,1,51,new,2017,1
52,4SCH5CuivFcShLpTg8lYOf,Bumbum Granada,Mc's Zaac & Jerry Smith,666320,,1,52,new,2017,1
53,3EmmCZoqpWOTY1g2GBwJoR,Just Hold On,Steve Aoki,659316,,1,53,new,2017,1
54,5OZqnhkGUxuSuW2P7CzH7y,Estaca Zero,Luan Santana,640703,,1,54,new,2017,1
55,62LiYpeFoJaixqkaNRGg47,Aquele 1% - Ao Vivo,Marcos & Belutti,611849,,1,55,new,2017,1
56,0azC730Exh71aQlOt9Zj3y,This Is What You Came For,Calvin Harris,600570,,1,56,new,2017,1
57,6JV2JOEocMgcZxYSZelKcc,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,599964,,1,57,new,2017,1
58,25SL3ZSbEGtu4oU14xllMQ,Bom,Ludmilla,580077,,1,58,new,2017,1
59,5s2ydrmJOiPeZGx4S4X8Aw,Impasse - Ao Vivo,Marília Mendonça,571513,,1,59,new,2017,1
60,4TZy1wLyHec06pwgFYDh1a,Mercy,Shawn Mendes,569321,,1,60,new,2017,1
61,4tCtwWceOPWzenK2HAIJSb,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,562098,,1,61,new,2017,1
62,4lbPwb1Beo7JU2VwuJRTeR,Suíte 14 - Ao Vivo,Henrique & Diego,561804,,1,62,new,2017,1
63,4rWCLK8mfQ6JpArmgIT8aK,Que Sorte A Nossa - Live,Matheus & Kauan,559597,,1,63,new,2017,1
64,14WWzenpaEgQZlqPq2nk4v,Work,Rihanna,559387,,1,64,new,2017,1
65,1Tn0msQvQMbD6woO9VnEG3,Sou eu,Ludmilla,547264,,1,65,new,2017,1
66,5GXAXm5YOmYT0kL5jHvYBt,I Feel It Coming,The Weeknd,539617,,1,66,new,2017,1
67,4owo0j5bw45IqiHxsTzcd6,Amei Te Ver,Tiago Iorc,534792,,1,67,new,2017,1
68,1OtZIaJBXo3Pe6nfaMsjKT,Na Ponta Ela Fica,Delano,532276,,1,68,new,2017,1
69,0tICYNayWWhH9GPeFrfjfD,This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs,525750,,1,69,new,2017,1
70,3XSefjiSHsD34F7clH84xa,O Que Falta Em Você Sou Eu - Ao Vivo,Marília Mendonça,516610,,1,70,new,2017,1
