position,song_id,song_name,artist,streams,last_week_position,weeks_on_chart,peak_position,position_status,year,week
57,4vb4mFvYsr2h6enhjJsq9Y,Water Under the Bridge,Adele,239027,,1,57,new,2017,1
58,0y8Wf6ltWpGCpgqVa21QNX,After the Afterparty (feat. Lil Yachty),Charli XCX,237937,,1,58,new,2017,1
59,69bp2EbF7Q2rqc5N3ylezZ,Sorry,Justin Bieber,237902,,1,59,new,2017,1
60,4Hf7WnR761jpxPr5D46Bcd,Treat You Better,Shawn Mendes,236439,,1,60,new,2017,1
61,5hYTyyh2odQKphUbMqc5gN,"How Far I'll Go - From ""Moana""",Alessia Cara,232125,,1,61,new,2017,1
62,17Fd6Yb7mSbinKG8LoWfFl,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,227008,,1,62,new,2017,1
63,4qqArAiTPueDxIp7cf87h7,Final Song,MØ,226781,,1,63,new,2017,1
64,4WjH9Bzt3kx7z8kl0awxh4,Lean On (feat. MØ & DJ Snake),Major Lazer,223049,,1,64,new,2017,1
65,1sTUEdVO85YU8Ymk2jeAls,Oh Lord,MiC LOWRY,218729,,1,65,new,2017,1
66,4F7A0DXBrmUAkp32uenhZt,Party Monster,The Weeknd,218444,,1,66,new,2017,1
67,5CPqOpKSk0QcJ3dGdaWcRB,On Hold,The xx,218236,,1,67,new,2017,1
68,4Km5HrUvYTaSUfiSGPJeQR,Bad and Boujee (feat. Lil Uzi Vert),Migos,217016,,1,68,new,2017,1
69,3REzEumDuXBpQH45WEHAr6,Drinkee,Sofi Tukker,211748,,1,69,new,2017,1
70,7yyRTcZmCiyzzJlNzGC9Ol,Broccoli (feat. Lil Yachty),DRAM,210432,,1,70,new,2017,1
71,0YHUITU3w6ws1v8ehT264g,Shout Out to My Ex,Little Mix,207629,,1,71,new,2017,1
72,2TdJsyNijI5jUvMnsjQcb3,Frozen,PON CHO,204521,,1,72,new,2017,1
73,3cNjgVBKTJ1SvKhunrCdVy,Please Don't Go,Joel Adams,201458,,1,73,new,2017,1
74,11KJSRSgaDxqydKYiD2Jew,Too Good,Drake,200024,,1,74,new,2017,1
75,4tCtwWceOPWzenK2HAIJSb,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,198513,,1,75,new,2017,1
76,58zsLZPvfflaiIbNWoA22O,Human,Rag'n'Bone Man,192424,,1,76,new,2017,1
77,3hB5DgAiMAQ4DzYbsMq1IT,Love Yourself,Justin Bieber,191085,,1,77,new,2017,1
78,6oSmp7qnvAxUXeUKhl67a6,1955,Hilltop Hoods,185237,,1,78,new,2017,1
79,7mTgsbq7n8jgnwLswpgugB,On Your Side,The Veronicas,182456,,1,79,new,2017,1
80,5OOkp4U9P9oL23maHFHL1h,Panda,Desiigner,181269,,1,80,new,2017,1
81,5GFDrUTLGJix84sNhjCG0g,Caroline,Aminé,178117,,1,81,new,2017,1
82,68EMU2RD1ECNeOeJ5qAXCV,We Don't Talk Anymore,Charlie Puth,177968,,1,82,new,2017,1
83,6OZh916QF8XNunWaP97WEZ,Fast Car,Jonas Blue,173461,,1,83,new,2017,1
84,3pzjHKrQSvXGHQ98dx18HI,What Do You Mean?,Justin Bieber,172882,,1,84,new,2017,1
85,6I6NX6tjGsxFAsIfGzY9lJ,Deja Vu,J. Cole,172702,,1,85,new,2017,1
86,1rPCgtaIF0CyKRgAwhtpbF,Adore,Amy Shark,169892,,1,86,new,2017,1
87,7oK9VyNzrYvRFo7nQEYkWN,Mr. Brightside,The Killers,169760,,1,87,new,2017,1
88,7yHEDfrJNd0zWOfXwydNH0,Into You,Ariana Grande,167060,,1,88,new,2017,1
89,14WWzenpaEgQZlqPq2nk4v,Work,Rihanna,166828,,1,89,new,2017,1
90,1OAiWI2oPmglaOiv9fdioU,Hymn for the Weekend - Seeb Remix,Coldplay,166315,,1,90,new,2017,1
91,7129iqBafaphfc3WPCGC0L,7 Years,Lukas Graham,166248,,1,91,new,2017,1
92,0L7loeTIg6akW84aEQZpCT,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,165949,,1,92,new,2017,1
93,7vRriwrloYVaoAe3a9wJHe,"i hate u, i love u (feat. olivia o'brien)",gnash,165710,,1,93,new,2017,1
94,5dKyZWlgjWw1oJgLa4GCZD,Cool Girl,Tove Lo,162124,,1,94,new,2017,1
95,6bLopGnirdrilrpdVB6Um1,The Greatest,Sia,158789,,1,95,new,2017,1
96,0lmdsH1MIoLsMymnNpd6HU,Let Me Hold You (Turn Me On),Dante Klein,157027,,1,96,new,2017,1
97,0hNduWmlWmEmuwEFcYvRu1,Sunset Lover,Petit Biscuit,156884,,1,97,new,2017,1
98,7gHs73wELdeycvS48JfIos,Faded,Alan Walker,156475,,1,98,new,2017,1
99,7yq4Qj7cqayVTp3FF9CWbm,Riptide,Vance Joy,152768,,1,99,new,2017,1
100,4BHzQ9C00ceJxfG16AlNWb,Send My Love (To Your New Lover),Adele,152100,,1,100,new,2017,1
101,5DA77EqppDmCTWGovd4oTP,Sex,Cheat Codes,152033,,1,101,new,2017,1
102,2Z8WuEywRWYTKe1NybPQEW,Ride,Twenty One Pilots,151348,,1,102,new,2017,1
103,4dASQiO1Eoo3RJvt74FtXB,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,151236,,1,103,new,2017,1
104,1Tt4sE4pXi57mTD1GCzsqm,Needed Me,Rihanna,149139,,1,104,new,2017,1
105,3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,Twenty One Pilots,148997,,1,105,new,2017,1
106,6C7RJEIUDqKkJRZVWdkfkH,Stronger,Kanye West,148809,,1,106,new,2017,1
107,32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk (feat. Bruno Mars),Mark Ronson,148361,,1,107,new,2017,1
108,2aFiaMXmWsM3Vj72F9ksBl,Cake By The Ocean,DNCE,144735,,1,108,new,2017,1
109,6WhzFzROw3aq3rPWjgYlxr,Gold,Kiiara,144559,,1,109,new,2017,1
110,36YCdzT57us0LhDmCYtrNE,Rockin’,The Weeknd,140110,,1,110,new,2017,1
111,6F609ICg9Spjrw1epsAnpa,Controlla,Drake,138242,,1,111,new,2017,1
112,5dNfHmqgr128gMY2tc5CeJ,Ignition - Remix,R. Kelly,137777,,1,112,new,2017,1
113,2KpCpk6HjXXLb7nnXoXA5O,Ni**as In Paris,JAY-Z,137517,,1,113,new,2017,1
114,1Slwb6dOYkBlWal1PGtnNg,Thinking out Loud,Ed Sheeran,135142,,1,114,new,2017,1
