,month,year,danceability,energy,streams
0,April,2017,0.682180172413793,0.7166422413793103,666608907
1,April,2018,0.6962975757575758,0.6977418181818182,1365325611
2,April,2019,0.6761728247914183,0.6832377830750893,1638050327
3,August,2017,0.6879415532425941,0.7085596477181745,921262815
4,August,2018,0.6950501474926253,0.6685154867256636,1150392588
5,August,2019,0.6898640380693406,0.6862732834806254,1490729850
6,December,2017,0.7018431818181818,0.7036666666666667,1159978065
7,December,2018,0.6967305619707467,0.6745742879137798,1318345076
8,December,2019,0.6832951593860684,0.6848612750885478,2249310756
9,February,2017,0.6735711805555555,0.7239652777777779,640056336
10,February,2018,0.6973163799551234,0.7071159311892297,1087438283
11,February,2019,0.6871827875095201,0.6725118050266565,1359271519
12,January,2017,0.6669062927496581,0.7323269493844049,773479886
13,January,2018,0.6995589651022863,0.7076113116726835,1457783813
14,January,2019,0.6890942684766215,0.6758514328808446,1461964051
15,July,2017,0.6884084142394822,0.710177993527508,1077090121
16,July,2018,0.6965200959808038,0.6736844631073785,1409090052
17,July,2019,0.6805460227272727,0.6804715909090909,1698923249
18,June,2017,0.6843820678513731,0.7060387722132472,825121347
19,June,2018,0.6994844444444445,0.6789785185185185,1111593212
20,June,2019,0.6752472487160674,0.685415260454879,1285984352
21,March,2017,0.6774757785467128,0.7184818339100346,649121902
22,March,2018,0.6918449438202248,0.6952194756554307,1070029960
23,March,2019,0.6885374251497006,0.6765688622754491,1336711166
24,May,2017,0.6817088353413654,0.7123139223560911,958422958
25,May,2018,0.6938002980625931,0.689102086438152,1116745216
26,May,2019,0.6762588757396449,0.6800019970414202,1274849101
27,November,2017,0.6943961240310077,0.7053674418604651,947868171
28,November,2018,0.7001029411764707,0.6630804953560372,1202079983
29,November,2019,0.6858848973607038,0.6730300586510264,1678807110
30,October,2017,0.6867303797468355,0.7081379746835442,1114619309
31,October,2018,0.6987358490566037,0.6653280584297018,1451885143
32,October,2019,0.6878441461595824,0.6733199105145414,1576280497
33,September,2017,0.6842310756972112,0.7087848605577689,915802255
34,September,2018,0.6976239638281838,0.675964581763376,1149907637
35,September,2019,0.684632,0.6836708571428571,1946252771
